distinct,length
DGH_Average-Regular_Approach2,6
DI_Average-Regular_Approach2,5
DIH_Average-Regular_Approach2,7
DJI_Average-Regular_Approach2,5
DMF_Average-Regular_Approach2,13
DMP_Average-Regular_Approach2,8
DP_Average-Regular_Approach2,9
DU_Average-Regular_Approach2,2
DV_Average-Regular_Approach2,2
EDH_Average-Regular_Approach2,9
EHX_Average-Regular_Approach2,12
EL_Average-Regular_Approach2,5
EOB_Average-Regular_Approach2,7
EP_Average-Regular_Approach2,7
ER_Average-Regular_Approach2,10
ETC_Average-Regular_Approach2,6
EU_Average-Regular_Approach2,9
EVG_Average-Regular_Approach2,4
FHP_Average-Regular_Approach2,10
FL_Average-Regular_Approach2,5
FPJ_Average-Regular_Approach2,9
FSB_Average-Regular_Approach2,10
FUX_Average-Regular_Approach2,7
G_Average-Regular_Approach2,3
GC_Average-Regular_Approach2,5
GD_Average-Regular_Approach2,8
GEZ_Average-Regular_Approach2,6
GHJ_Average-Regular_Approach2,4
GM_Average-Regular_Approach2,2
GMU_Average-Regular_Approach2,5
GPS_Average-Regular_Approach2,7
GTB_Average-Regular_Approach2,8
GWG_Average-Regular_Approach2,14
HI_Average-Regular_Approach2,5
HKD_Average-Regular_Approach2,11
HO_Average-Regular_Approach2,7
HBV_Average-Regular_Approach2,8
IA_Average-Regular_Approach2,5
IB_Average-Regular_Approach2,6
IBY_Average-Regular_Approach2,10
IC_Average-Regular_Approach2,7
IH_Average-Regular_Approach2,5
IN_Average-Regular_Approach2,3
IP_Average-Regular_Approach2,5
IZ_Average-Regular_Approach2,2
JA_Average-Regular_Approach2,5
JB_Average-Regular_Approach2,8
JBR_Average-Regular_Approach2,9
JC_Average-Regular_Approach2,5
JCD_Average-Regular_Approach2,9
JD_Average-Regular_Approach2,8
JHR_Average-Regular_Approach2,10
JJ_Average-Regular_Approach2,5
JNY_Average-Regular_Approach2,6
JO_Average-Regular_Approach2,9
JRA_Average-Regular_Approach2,11
JXD_Average-Regular_Approach2,8
KGO_Average-Regular_Approach2,7
KIW_Average-Regular_Approach2,6
KJ_Average-Regular_Approach2,6
KJP_Average-Regular_Approach2,8
LAC_Average-Regular_Approach2,6
LBP_Average-Regular_Approach2,7
LZT_Average-Regular_Approach2,8
LWC_Average-Regular_Approach2,5
MB_Average-Regular_Approach2,7
MMK_Average-Regular_Approach2,8
MNW_Average-Regular_Approach2,5
MP_Average-Regular_Approach2,5
MY_Average-Regular_Approach2,5
NB_Average-Regular_Approach2,8
ND_Average-Regular_Approach2,8
NJY_Average-Regular_Approach2,6
NPP_Average-Regular_Approach2,11
NUO_Average-Regular_Approach2,5
NWF_Average-Regular_Approach2,5
NWW_Average-Regular_Approach2,3
O_Average-Regular_Approach2,3
OGB_Average-Regular_Approach2,7
OGW_Average-Regular_Approach2,5
OMJ_Average-Regular_Approach2,7
OPN_Average-Regular_Approach2,6
P_Average-Regular_Approach2,5
PAZ_Average-Regular_Approach2,12
PD_Average-Regular_Approach2,8
PI_Average-Regular_Approach2,5
PJW_Average-Regular_Approach2,5
PQW_Average-Regular_Approach2,5
PYE_Average-Regular_Approach2,8
PYO_Average-Regular_Approach2,6
RJ_Average-Regular_Approach2,5
RMJ_Average-Regular_Approach2,7
SF_Average-Regular_Approach2,5
SH_Average-Regular_Approach2,6
SL_Average-Regular_Approach2,6
SNO_Average-Regular_Approach2,6
SOF_Average-Regular_Approach2,6
SOG_Average-Regular_Approach2,7
SOS_Average-Regular_Approach2,9
SVY_Average-Regular_Approach2,6
SYZ_Average-Regular_Approach2,4
TA_Average-Regular_Approach2,6
TIA_Average-Regular_Approach2,7
TLV_Average-Regular_Approach2,5
SD_Average-Regular_Approach2,9
SDF_Average-Regular_Approach2,9
TRD_Average-Regular_Approach2,10
TS_Average-Regular_Approach2,10
TSM_Average-Regular_Approach2,6
TU_Average-Regular_Approach2,4
U_Average-Regular_Approach2,3
UA_Average-Regular_Approach2,10
UAV_Average-Regular_Approach2,10
UD_Average-Regular_Approach2,7
UH_Average-Regular_Approach2,6
UI_Average-Regular_Approach2,4
UIN_Average-Regular_Approach2,4
UJ_Average-Regular_Approach2,3
UNY_Average-Regular_Approach2,6
UP_Average-Regular_Approach2,5
UPJ_Average-Regular_Approach2,9
VNM_Average-Regular_Approach2,6
VQ_Average-Regular_Approach2,3
VUJ_Average-Regular_Approach2,3
WD_Average-Regular_Approach2,7
WF_Average-Regular_Approach2,5
WFD_Average-Regular_Approach2,9
WG_Average-Regular_Approach2,12
WI_Average-Regular_Approach2,3
WJ_Average-Regular_Approach2,3
WM_Average-Regular_Approach2,4
WP_Average-Regular_Approach2,5
WPG_Average-Regular_Approach2,6
WQ_Average-Regular_Approach2,3
WW_Average-Regular_Approach2,3
WWA_Average-Regular_Approach2,5
XBL_Average-Regular_Approach2,8
XGU_Average-Regular_Approach2,10
XIT_Average-Regular_Approach2,10
XJ_Average-Regular_Approach2,5
XL_Average-Regular_Approach2,5
XMA_Average-Regular_Approach2,7
XP_Average-Regular_Approach2,5
XRT_Average-Regular_Approach2,8
XT_Average-Regular_Approach2,9
XWI_Average-Regular_Approach2,5
XXW_Average-Regular_Approach2,6
YDH_Average-Regular_Approach2,9
YUT_Average-Regular_Approach2,5
YXW_Average-Regular_Approach2,6
ZCI_Average-Regular_Approach2,6
ZGC_Average-Regular_Approach2,7
ZJY_Average-Regular_Approach2,6
ZOZ_Average-Regular_Approach2,8
ZSM_Average-Regular_Approach2,5
A_arial_Approach2,5
ACI_arial_Approach2,7
AEJ_arial_Approach2,7
AEY_arial_Approach2,8
AJD_arial_Approach2,4
AKV_arial_Approach2,7
ANC_arial_Approach2,6
ARV_arial_Approach2,7
AW_arial_Approach2,5
AX_arial_Approach2,7
AXF_arial_Approach2,8
AZ_arial_Approach2,6
AZH_arial_Approach2,8
AT_arial_Approach2,5
B_arial_Approach2,1
BEV_arial_Approach2,6
BKQ_arial_Approach2,8
BLC_arial_Approach2,7
BO_arial_Approach2,7
BTM_arial_Approach2,7
BVD_arial_Approach2,8
BOC_arial_Approach2,8
CBS_arial_Approach2,8
CGY_arial_Approach2,5
CIO_arial_Approach2,5
COP_arial_Approach2,6
CRK_arial_Approach2,10
CU_arial_Approach2,5
CUH_arial_Approach2,7
CV_arial_Approach2,5
CWC_arial_Approach2,9
CXS_arial_Approach2,5
CVG_arial_Approach2,6
DAQ_arial_Approach2,6
DCJ_arial_Approach2,5
DGC_arial_Approach2,5
DGH_arial_Approach2,6
DIH_arial_Approach2,4
DJI_arial_Approach2,4
DMF_arial_Approach2,5
DMP_arial_Approach2,7
DP_arial_Approach2,5
DU_arial_Approach2,2
DV_arial_Approach2,2
EDH_arial_Approach2,7
EHX_arial_Approach2,11
EL_arial_Approach2,7
EOB_arial_Approach2,5
EP_arial_Approach2,7
ER_arial_Approach2,7
ETC_arial_Approach2,6
EU_arial_Approach2,7
EVG_arial_Approach2,8
FHP_arial_Approach2,8
FL_arial_Approach2,5
FPJ_arial_Approach2,6
FSB_arial_Approach2,9
FUX_arial_Approach2,9
G_arial_Approach2,7
GC_arial_Approach2,5
GD_arial_Approach2,3
GEZ_arial_Approach2,6
GHJ_arial_Approach2,4
GM_arial_Approach2,2
GMU_arial_Approach2,3
GPS_arial_Approach2,9
GTB_arial_Approach2,4
GWG_arial_Approach2,4
HI_arial_Approach2,5
HKD_arial_Approach2,9
HO_arial_Approach2,6
HBV_arial_Approach2,8
IA_arial_Approach2,5
IB_arial_Approach2,1
IBY_arial_Approach2,6
IC_arial_Approach2,3
IH_arial_Approach2,5
IN_arial_Approach2,3
IP_arial_Approach2,2
IZ_arial_Approach2,5
JA_arial_Approach2,10
JB_arial_Approach2,3
JBR_arial_Approach2,6
JC_arial_Approach2,6
JCD_arial_Approach2,4
JD_arial_Approach2,2
JHR_arial_Approach2,10
JJ_arial_Approach2,4
JNY_arial_Approach2,3
JO_arial_Approach2,10
JRA_arial_Approach2,10
JXD_arial_Approach2,9
KGO_arial_Approach2,4
KIW_arial_Approach2,5
KJ_arial_Approach2,4
KJP_arial_Approach2,4
LAC_arial_Approach2,6
LBP_arial_Approach2,7
LZT_arial_Approach2,5
LWC_arial_Approach2,4
MB_arial_Approach2,3
MMK_arial_Approach2,6
MNW_arial_Approach2,4
MP_arial_Approach2,5
MY_arial_Approach2,5
NB_arial_Approach2,5
ND_arial_Approach2,6
NJY_arial_Approach2,5
NPP_arial_Approach2,8
NUO_arial_Approach2,6
NWF_arial_Approach2,5
NWW_arial_Approach2,3
OGB_arial_Approach2,5
OGW_arial_Approach2,3
OMJ_arial_Approach2,5
OPN_arial_Approach2,8
P_arial_Approach2,2
PAZ_arial_Approach2,7
PD_arial_Approach2,7
PI_arial_Approach2,5
PJW_arial_Approach2,7
PQW_arial_Approach2,5
PYE_arial_Approach2,8
PYO_arial_Approach2,7
RJ_arial_Approach2,5
RMJ_arial_Approach2,6
SF_arial_Approach2,7
SH_arial_Approach2,8
SL_arial_Approach2,7
SNO_arial_Approach2,9
SOF_arial_Approach2,7
SOG_arial_Approach2,10
SOS_arial_Approach2,11
SVY_arial_Approach2,9
SYZ_arial_Approach2,9
TA_arial_Approach2,5
TIA_arial_Approach2,5
TLV_arial_Approach2,3
SD_arial_Approach2,8
SDF_arial_Approach2,12
TRD_arial_Approach2,7
TS_arial_Approach2,4
TSM_arial_Approach2,8
TU_arial_Approach2,3
U_arial_Approach2,3
UA_arial_Approach2,6
UAV_arial_Approach2,6
UD_arial_Approach2,2
UH_arial_Approach2,5
UI_arial_Approach2,3
UIN_arial_Approach2,3
UJ_arial_Approach2,4
UNY_arial_Approach2,4
UP_arial_Approach2,2
UPJ_arial_Approach2,3
VNM_arial_Approach2,4
VQ_arial_Approach2,3
VUJ_arial_Approach2,4
WD_arial_Approach2,2
WF_arial_Approach2,5
WFD_arial_Approach2,5
WG_arial_Approach2,4
WI_arial_Approach2,3
WJ_arial_Approach2,3
WM_arial_Approach2,4
WP_arial_Approach2,5
WPG_arial_Approach2,7
WQ_arial_Approach2,3
WW_arial_Approach2,3
WWA_arial_Approach2,5
XBL_arial_Approach2,7
XGU_arial_Approach2,5
XIT_arial_Approach2,7
XJ_arial_Approach2,5
XL_arial_Approach2,6
XMA_arial_Approach2,7
XP_arial_Approach2,5
XRT_arial_Approach2,8
XT_arial_Approach2,5
XWI_arial_Approach2,5
XXW_arial_Approach2,6
YDH_arial_Approach2,8
YUT_arial_Approach2,4
YXW_arial_Approach2,6
ZCI_arial_Approach2,5
ZGC_arial_Approach2,6
ZJY_arial_Approach2,6
ZOZ_arial_Approach2,7
ZSM_arial_Approach2,8
A_perspire_Boundaries,4
ACI_perspire_Boundaries,6
AEJ_perspire_Boundaries,6
AEY_perspire_Boundaries,7
AJD_perspire_Boundaries,11
AKV_perspire_Boundaries,15
ANC_perspire_Boundaries,10
ARV_perspire_Boundaries,14
AW_perspire_Boundaries,8
AX_perspire_Boundaries,11
AXF_perspire_Boundaries,11
AZ_perspire_Boundaries,7
AZH_perspire_Boundaries,11
AT_perspire_Boundaries,7
B_perspire_Boundaries,2
BEV_perspire_Boundaries,4
BKQ_perspire_Boundaries,2
BLC_perspire_Boundaries,4
BO_perspire_Boundaries,2
BTM_perspire_Boundaries,6
BVD_perspire_Boundaries,7
BOC_perspire_Boundaries,4
CBS_perspire_Boundaries,3
CGY_perspire_Boundaries,5
CIO_perspire_Boundaries,2
COP_perspire_Boundaries,3
CRK_perspire_Boundaries,7
CU_perspire_Boundaries,5
CUH_perspire_Boundaries,11
CV_perspire_Boundaries,6
CWC_perspire_Boundaries,6
CXS_perspire_Boundaries,13
CVG_perspire_Boundaries,10
DAQ_perspire_Boundaries,4
DCJ_perspire_Boundaries,8
DGC_perspire_Boundaries,5
DGH_perspire_Boundaries,7
DI_perspire_Boundaries,3
DIH_perspire_Boundaries,7
DJI_perspire_Boundaries,13
DMF_perspire_Boundaries,7
DMP_perspire_Boundaries,11
DP_perspire_Boundaries,3
DU_perspire_Boundaries,5
DV_perspire_Boundaries,8
EDH_perspire_Boundaries,7
EHX_perspire_Boundaries,13
EL_perspire_Boundaries,3
EOB_perspire_Boundaries,2
EP_perspire_Boundaries,5
ER_perspire_Boundaries,7
ETC_perspire_Boundaries,5
EU_perspire_Boundaries,4
EVG_perspire_Boundaries,10
FHP_perspire_Boundaries,10
FL_perspire_Boundaries,3
FPJ_perspire_Boundaries,9
FSB_perspire_Boundaries,3
FUX_perspire_Boundaries,10
G_perspire_Boundaries,6
GC_perspire_Boundaries,5
